id,startNode,endNode,duration,type,length,name,ref
172,17509,17508,2.161922,2,30.026697,Avenue du Général Leclerc,
173,9409,9460,0.775111,2,10.765427,Boulevard de Sully,
174,12824,12828,1.302911,0,18.095985,,
175,13856,27430,29.520435,2,410.006036,Avenue Pierre Richier,D 207
176,15326,15325,0.949637,2,13.189408,,
177,19740,19737,0.911187,2,12.655380,,
178,10297,10305,3.680806,2,51.122304,,
179,12815,17842,33.930172,2,471.252395,Route de Vert le Grand,
180,1075,10726,11.486552,3,159.535446,Boulevard des Capucines,
181,4746,7600,40.880044,2,567.778391,Quai Carnot,D 7
182,10007,25265,247.987146,7,3444.265916,,N 10
183,19838,10216,24.906209,2,345.919566,Avenue du Général Leclerc,D 35
184,24855,19857,355.599818,2,4938.886357,,D 92
185,25035,25034,2.717728,2,37.746219,,
186,29713,29716,0.788215,2,10.947426,,
187,171,25926,3.703260,2,51.434168,Rue Charles de Gaulle,D 446
188,2036,2055,1.358722,2,18.871135,,
189,17758,17761,1.169552,2,16.243776,,
190,25891,7347,3.562982,2,49.485865,,
191,29183,29181,1.186427,2,16.478159,Grande Rue Charles de Gaulle,D 120
192,9460,21886,2.203758,2,30.607752,Boulevard de Sully,
193,21344,20222,1.344589,2,18.674841,Avenue du Président J.-F. Kennedy,D 7
194,720,25424,137.026093,2,1903.140180,Rue Charles de Gaulle,D 446
195,1367,1362,28.917883,2,401.637262,,D129
196,4026,4409,19.055839,2,264.664434,,D 301E2
197,6042,26322,3.650529,2,50.701787,Avenue de la Vauve,
198,9980,9638,38.381882,2,533.081694,Boulevard de la Paix,
199,13660,13657,30.493286,2,423.517856,Avenue Paul Langevin,D 75
200,5998,5917,1.749034,2,24.292139,,
201,25519,25516,1.025914,2,14.248803,,
202,26017,26014,2.418730,2,33.593478,,
203,32282,20892,1.351769,2,18.774573,,D 195
204,2435,2437,2.798322,0,38.865580,,
205,3995,8330,5.108428,2,70.950385,Route d'Orsay,D 446
206,4425,1415,5.444398,2,75.616644,,D 144
207,5285,4897,1.201723,2,16.690595,Carrefour de l'Europe,
208,9551,7086,3.657859,2,50.803591,Rond-Point du Clos Pois,
209,13745,13744,23.866569,0,331.480129,,
210,13778,15011,7.575264,2,105.211994,Avenue Foch,D 123
211,31413,5854,0.722329,2,10.032344,,
212,5375,22427,88.416629,7,1228.008740,,N 19
213,15367,15372,2.925024,2,40.625332,Boulevard de Créteil,D 118
214,6885,3806,60.408757,0,839.010507,Autoroute du Soleil,A 6
215,18717,10873,24.965914,2,346.748805,Route de Melun,D 619
216,18889,1830,5.936280,2,82.448339,Avenue de la Résistance,D 20
217,24484,16971,35.368185,2,491.224796,Rue Joseph Letien,
218,7774,7701,120.604744,2,1675.065889,,D 19
219,24246,24453,32.097672,2,445.801003,,D 204
220,28399,6085,26.360607,2,366.119540,Route de Corbeil,D 117
221,3112,3591,16.316134,0,226.612973,,A 15
222,6837,7495,125.428245,2,1742.058962,Boulevard Pasteur,D 233
223,11628,12369,2.972823,2,41.289204,,D 26
224,13942,6605,0.864148,2,12.002062,,
225,18342,10493,108.979357,2,1513.602186,Rue de la Vallée Jean Le Loup,
