num,lon,lat
94,2.274925,48.858363
95,2.274291,48.858181
96,2.286704,48.856668
97,2.284534,48.858586
98,2.284629,48.858491
99,2.284851,48.858602
100,2.286097,48.861891
101,2.301954,48.862302
102,2.272547,48.858025
103,2.259509,48.848104
104,2.257288,48.847855
105,2.258716,48.848123
106,2.280643,48.852659
107,2.273538,48.858242
108,2.273930,48.851844
109,2.275121,48.851144
110,2.268838,48.847259
111,2.271891,48.844501
112,2.271580,48.845304
113,2.297892,48.887318
114,2.310350,48.868970
115,2.298582,48.872721
116,2.309942,48.869096
117,2.306656,48.870145
118,2.305360,48.870561
119,2.295912,48.873573
120,2.321984,48.866042
121,2.320038,48.874663
122,2.089702,49.031080
123,2.083738,49.031125
124,2.087977,49.031821
125,2.088097,49.031916
126,2.079109,49.030977
127,2.079061,49.031145
128,2.078851,49.031072
129,2.078955,49.032930
130,2.074387,49.031799
131,2.082698,49.034991
132,2.083042,49.035037
133,2.082963,49.034693
134,2.083144,49.034769
135,2.082826,49.035044
136,2.082668,49.034785
137,2.078889,49.032998
138,2.074337,49.031880
139,2.097832,49.027091
140,2.097676,49.026683
141,2.100846,49.033979
142,2.101052,49.034025
143,2.100750,49.034127
144,2.101845,49.033847
145,2.102223,49.034860
146,2.102363,49.034120
147,2.319954,48.865919
148,2.322647,48.870941
149,2.311059,48.845480
150,2.310829,48.845362
151,2.311048,48.845331
152,2.312381,48.842868
153,2.312793,48.843000
154,2.354465,48.821079
155,2.303696,48.828126
156,2.280940,48.835285
157,2.283944,48.834292
158,2.287667,48.832340
159,2.292391,48.830801
160,2.301307,48.828475
161,2.312563,48.826019
162,2.323177,48.823663
163,2.325591,48.823022
164,2.334287,48.821216
165,2.344578,48.819333
166,2.359537,48.818878
167,2.278115,48.836033
168,2.286545,48.833500
169,2.202367,48.959150
170,2.387438,48.941382
171,2.158826,48.767119
172,2.159447,48.766831
173,2.160551,48.765345
174,2.160976,48.765115
175,2.160926,48.765066
176,2.381578,48.939262
177,2.160928,48.764833
178,2.426859,48.941018
179,2.161220,48.764435
180,2.161933,48.764099
181,2.432620,48.942087
182,2.176708,48.761369
183,2.181043,48.761686
184,2.451787,48.963619
185,2.451599,48.963683
